Source,Target,Type
C7,Am7,Directed
Am7,Dm7,Directed
Dm7,G7,Directed
G7,C,Directed
C,F7,Directed
F7,G7,Directed
G7,C7,Directed
C7,E7,Directed
E7,F7,Directed
F7,Fm,Directed
Fm,Fm7,Directed
Fm7,C7,Directed
C,Am7,Directed
Am7,D7,Directed
D7,G7,Directed
G7,E7,Directed
E7,Am7,Directed
Am7,F7,Directed
F7,D7,Directed
D7,A7,Directed
A7,D7,Directed
D7,Am7,Directed
G7,G#,Directed
G#,G7,Directed
C,F,Directed
F,Fm7,Directed
Fm7,C,Directed
C,G7,Directed
G7,C6,Directed
C6,C7,Directed
F7,E7,Directed
E7,Fm,Directed
Fm7,D7,Directed
A7,G#,Directed
G#,F,Directed
F,C6,Directed
Bm5-/7,E7/13-,Directed
E7/13-,Am7,Directed
Am7,E7/13-,Directed
Am7,D7,Directed
D7,G,Directed
G,Gmaj7,Directed
Gmaj7,Em,Directed
Em,Am7,Directed
Am7,Am5-/7,Directed
Am5-/7,D7,Directed
Gmaj7,G7/13,Directed
G7/13,G7,Directed
G7,Am7,Directed
G,G7,Directed
G7,F#m7,Directed
F#m7,B7,Directed
B7,E,Directed
E,E7,Directed
E7,Em7,Directed
Em7,A7,Directed
A7,D7,Directed
D7,Am7,Directed
G7,Em,Directed
Am7,Am7/D,Directed
Am7/D,Am5-/7,Directed
Am,Am6,Directed
Am6,Bm7,Directed
Bm7,E7,Directed
E7,Am,Directed
Am6,Em5-/7,Directed
Em5-/7,A7/9-,Directed
A7/9-,Dm,Directed
Dm,Dm7+,Directed
Dm7+,Dm7,Directed
Dm7,Dm7/13,Directed
Dm7/13,E7,Directed
E7,A#7,Directed
A#7,E7,Directed
E7,Amaj7,Directed
Amaj7,Am,Directed
E7,A,Directed
A,Bm,Directed
Bm,E7,Directed
A,Em5-/7,Directed
A7/9-,Dm7,Directed
Dm7,A#,Directed
A#,E7,Directed
E7,C,Directed
C,Cmaj7,Directed
Cmaj7,E7,Directed
E7,Dm,Directed
Dm,E7,Directed
A,Am,Directed
C,Dm7,Directed
Dm7,C7,Directed
C7,G7/13-,Directed
G7/13-,C,Directed
C,Bb,Directed
Bb,G7/13-,Directed
G7/13-,G7,Directed
G7,C,Directed
C,G7,Directed
G7,Cdim,Directed
Cdim,C,Directed
Dm7,Cdim,Directed
C,C7,Directed
C7,F,Directed
F,Fm,Directed
Fm,C,Directed
C,G,Directed
G,Am7,Directed
Am7,Bb9,Directed
Bb9,G7,Directed
C,G,Directed
G,C,Directed
C7,G7,Directed
G7,G7/13-,Directed
F,Fm7,Directed
Fm7,C,Directed
C,Cmaj7,Directed
Cmaj7,Am7,Directed
Am7,G7,Directed
Cmaj7,E7,Directed
E7,A7,Directed
A7,A7/9,Directed
A7/9,A,Directed
A,A7,Directed
A7,D,Directed
D,Am7,Directed
Am7,D9,Directed
D9,G7,Directed
G7,C9,Directed
C9,C,Directed
C,Cmaj7,Directed
Cmaj7,Cdim,Directed
Cdim,Dm7,Directed
Dm7,Em7,Directed
Em7,F7,Directed
F7,G7,Directed
A7,F,Directed
F,Dm7,Directed
Dm7,G7,Directed
G7,G7/13,Directed
G7/13,G7,Directed
G7/13,C,Directed
C,F,Directed
Fm,Bb9,Directed
Bb9,C,Directed
C,D7,Directed
D7,G7,Directed
G7,Dm7,Directed
Dm7,G7,Directed
G7,C,Directed
C,Gdim,Directed
Gdim,Dm7,Directed
Dm7,Cdim,Directed
Cdim,C,Directed
C,E7,Directed
E7,Fmaj7,Directed
Fmaj7,Fdim,Directed
Fdim,A,Directed
A,C,Directed
Fdim,C,Directed
G7,Cmaj7,Directed
Cmaj7,Fmaj7,Directed
Fmaj7,A7,Directed
A7,Dm,Directed
Dm,Am,Directed
Am,Dm,Directed
Dm,G7,Directed
G7,Em,Directed
Em,Edim,Directed
Edim,Dm7,Directed
Gdim,Dm,Directed
Dm,Cdim,Directed
D7,Dm7,Directed
C,Cmaj7,Directed
Cmaj7,A7,Directed
A7,Gdim,Directed
Gdim,Em,Directed
Gdim,Fdim,Directed
C,Fdim,Directed
Dm7,Gdim,Directed
Gdim,Cdim,Directed
Cdim,E7,Directed
Fdim,Cmaj7,Directed
Cmaj7,A7,Directed
Am,Em,Directed
Edim,Cmaj7,Directed
Dm7,F9,Directed
F9,G7,Directed
G7,Dm5-/7,Directed
Dm5-/7,C,Directed
C,A7,Directed
A7,Dm7,Directed
Dm7,G#7,Directed
G#7,G7,Directed
G7,C,Directed
C,A#,Directed
A#,C,Directed
C,C#9,Directed
C#9,C,Directed
C,C9,Directed
C9,F9,Directed
F9,Fm,Directed
Fm,Fm6,Directed
Fm6,C,Directed
C,B7,Directed
B7,A#7,Directed
A#7,A7,Directed
A7,G#7,Directed
C#9,Fm,Directed
Fm,Fm7,Directed
Fm7,C,Directed
C,Fm,Directed
Fm7,A#dim,Directed
A#dim,C,Directed
C,G#7,Directed
G#7,C#,Directed
C#,G#7,Directed
G#7,A#dim,Directed
A#dim,G#7,Directed
G7,G#dim,Directed
G#dim,G7,Directed
C,E7,Directed
E7,A#7,Directed
A7,F9,Directed
F9,Dm5-/7,Directed
Dm5-/7,G7,Directed
Dm7,G7,Directed
G#dim,C,Directed
C,Dm7,Directed
C,A#,Directed
A#,F,Directed
F,C,Directed
C,E7,Directed
E7,Am,Directed
Am,F,Directed
F,D,Directed
D,C,Directed
C,Am,Directed
Am,D7,Directed
D7,G7,Directed
G7,C,Directed
C,D,Directed
D,D#,Directed
D#,E,Directed
E,F,Directed
G7,C#7,Directed
C#7,C7,Directed
C7,C,Directed
F,E7,Directed
Am,D,Directed
D,D7,Directed
G7,D#,Directed
E,C#7,Directed
C,C7/13-,Directed
C7/13-,F,Directed
F,G,Directed
G,G7/13-,Directed
G7/13-,C,Directed
C,D#dim,Directed
D#dim,Ddim,Directed
Ddim,G7,Directed
G7,C,Directed
F,A,Directed
A,G,Directed
C,F,Directed
F,Fm,Directed
Fm,A7,Directed
A7,D7,Directed
D7,F,Directed
F,G7,Directed
G7,G7/13-,Directed
C,Am,Directed
Am,C,Directed
Am,Dm7,Directed
Dm7,G7,Directed
G7,C,Directed
C,G7,Directed
G7,D#,Directed
D#,G7,Directed
C,C7,Directed
C7,Fm,Directed
Fm,C,Directed
C,D#dim,Directed
D#dim,Fm6,Directed
Fm6,G7,Directed
G7,Gm,Directed
Gm,C7,Directed
C7,F,Directed
F,Fm,Directed
Fm,C7/13-,Directed
C7/13-,D#dim,Directed
D#dim,G7,Directed
Am,D7,Directed
D7,G7,Directed
D#dim,Fm,Directed
Fm,G7,Directed
G7,C7,Directed
C,A7,Directed
A7,D7,Directed
D7,F,Directed
F,G7,Directed
Fm,D#dim,Directed
D#,C7,Directed
Fm6,Gm,Directed
Gm,F,Directed
C,G7,Directed
G7,C,Directed
C,C5-/7,Directed
C5-/7,C,Directed
C5-/7,G4/7,Directed
G4/7,Dm7,Directed
Dm7,G4/7,Directed
Dm7,G7,Directed
C,A7/9-,Directed
A7/9-,Dm7,Directed
G7,Dm7,Directed
C,Am,Directed
Am,Dm,Directed
Dm,Dm7,Directed
C,G7/9,Directed
G7/9,G7,Directed
Dm7,D#m7,Directed
D#m7,G7,Directed
C,Cmaj7,Directed
Cmaj7,C6,Directed
C6,C,Directed
C,G4/7,Directed
G4/7,G7,Directed
G7,G4/7,Directed
G7,Cmaj7,Directed
C6,Cmaj7,Directed
C6,E4/7,Directed
E4/7,E7,Directed
E7,G6,Directed
G6,E7,Directed
E7,Adim,Directed
Adim,Am,Directed
Dm,D7,Directed
