Id;Label
1;A
2;A#
3;A#/A
4;A#6
5;A#6/C
6;A#7
7;A#9
8;A#add9
9;A#dim
10;A#m
11;A#m6
12;A#m7
13;A#m7/5-
14;A#maj7
15;A13
16;A4/7
17;A5+
18;A6
19;A7
20;A7.3-.5-.9-.11-.13-
21;A7.5+
22;A7.5+.9
23;A7.5+.9+
24;A7.5+.9-
25;A7.5-
26;A7.5-.9-
27;A7.9-.5+
28;A7/13-
29;A7/9
30;A7/9-
31;A7M
32;A9
33;A9+
34;A9-
35;Ab
36;Ab11+
37;Ab13
38;Ab6
39;Ab7
40;Ab7.5+
41;Ab7.5-
42;Ab9
43;Abaug
44;Abdim
45;Abdim7
46;Abm7
47;Abm9
48;Abmaj7
49;Adim
50;Adim7
51;Am
52;Am/C
53;Am/D
54;Am/G
55;Am11
56;Am5+
57;Am5-/7
58;Am6
59;Am7
60;Am7+
61;Am7.5+
62;Am7.5-
63;Am7.9
64;Am7/D
65;Am7/F
66;Am7/G
67;Am9
68;Amaj7
69;Amaj9
70;B
71;B6
72;B6.9
73;B7
74;B7.3-.5-.9-.11-.13-
75;B7.5+
76;B7.5+.9+
77;B7.5-
78;B7.5-.9-
79;B9
80;B9-
81;Bb
82;Bb13
83;Bb6
84;Bb6.9
85;Bb7
86;Bb7.5+
87;Bb7.5+.9
88;Bb7.5-
89;Bb7/11+
90;Bb7M
91;Bb9
92;Bb9-
93;Bb9.11+
94;Bbaug
95;Bbdim
96;Bbdim7
97;Bbm
98;Bbm6
99;Bbm7
100;Bbm7.5-
101;Bbmaj
102;Bbmaj7
103;Bbmaj7.11+
104;Bbmaj9
105;Bdim
106;Bdim7
107;Bm
108;Bm11
109;Bm4/7
110;Bm5-/7
111;Bm7
112;Bm7.5-
113;Bm7.9-
114;Bmaj7
115;Bsus4.7
116;C
117;C#
118;C#7
119;C#9
120;C#m
121;C#m7
122;C/A
123;C/B
124;C/E
125;C/F
126;C11
127;C13
128;C4
129;C4/7
130;C5+
131;C5-/7
132;C6
133;C6.9
134;C6/9
135;C7
136;C7+
137;C7.5+
138;C7.5+.9
139;C7.5-
140;C7/13-
141;C7/5+
142;C7/9
143;C7M
144;C9
145;C9+
146;C9-
147;Caug
148;Cdim
149;Cdim7
150;Cm
151;Cm11
152;Cm6
153;Cm7
154;Cm9
155;Cmaj
156;Cmaj7
157;Cmaj9
158;Csus4
159;D
160;D#
161;D#6
162;D#7
163;D#9
164;D#dim
165;D#m
166;D#m7
167;D5-/7
168;D7
169;D7.5+
170;D7.5-
171;D7/13
172;D7/9
173;D7/9-
174;D7M
175;D9
176;D9-
177;Db
178;Db6
179;Db7
180;Db7.5-
181;Db9
182;Db9+
183;Db9-
184;Dbdim
185;Dbdim7
186;Dbm
187;Dbm7
188;Dbm7.5-
189;Dbmaj7
190;Dbmaj9
191;Ddim
192;Ddim7
193;Dm
194;Dm/C
195;Dm11
196;Dm5-/7
197;Dm6
198;Dm6.9
199;Dm7
200;Dm7+
201;Dm7.5+
202;Dm7.5-
203;Dm7.9
204;Dm7/13
205;Dm7/5-
206;Dm7/9
207;Dm7/C
208;Dm7/G
209;Dm9
210;Dmaj
211;Dmaj7
212;E
213;E4/7
214;E6
215;E7
216;E7.5+
217;E7.5+.9+
218;E7.5+.9-
219;E7.5-
220;E7.5-.9-
221;E7/13-
222;E7/9-
223;E7/A
224;E7/B
225;E7M
226;E9
227;E9+
228;E9-
229;Eaug
230;Eb
231;Eb6
232;Eb7
233;Eb7.5+
234;Eb7.5-
235;Eb9
236;Eb9+
237;Eb9-
238;Eb9.11+
239;Ebaug
240;Ebdim
